Frame,Wheelset,Flat Time,Climb Time
Chapter2 Toa,DT Swiss ARC 62,3045,2934
Spec Venge S-Works ,Zipp 858/Super9,3024,2956
Spec Venge S-Works ,DT Swiss ARC 62 Dicut Disc,3017,2955
Chapter2 Toa,Zipp 858/Super9,3027,2953
Chapter2 Toa,DT Swiss ARC 62 Dicut Disc,3020,2952
Canyon Aero 2021,Zipp 858/Super9,3026,2951
Canyon Aero 2021,DT Swiss ARC 62 Dicut Disc,3019,2950
Spec Venge S-Works ,Zipp 808,3033,2948
Spec Venge S-Works ,Zipp 858,3030,2946
Chapter2 Toa,Zipp 808,3039,2945
Scott Addict RC,Zipp 858/Super9,3029.5,2945
Scott Addict RC,DT Swiss ARC 62 Dicut Disc,3022,2944
Canyon Aero 2021,Zipp 808,3035,2943
Chapter2 Toa,Zipp 858,3033,2943
Canyon Aero 2021,Zipp 858,3032,2941
Spec Venge S-Works ,ENVE 7.8,3032,2941
Spec Aethos,Zipp 858/Super9,3040,2940
Spec Venge S-Works ,Zipp 353 NSW,3046,2939
Spec Aethos,DT Swiss ARC 62 Dicut Disc,3033,2939
Spec Venge S-Works ,ENVE 3.4,3049,2938
Chapter2 Toa,ENVE 7.8,3035,2938
Zwift Concept Z1,NA,3027,2938
Spec Venge S-Works ,DT Swiss ARC 62,3042,2937
Scott Addict RC,Zipp 808,3038.5,2937
Chapter2 Toa,Zipp 353 NSW,3049,2936
Canyon Aero 2021,ENVE 7.8,3034,2936
Chapter2 Toa,ENVE 3.4,3052.5,2935
Scott Addict RC,Zipp 858,3035.5,2935
Canyon Aero 2021,Zipp 353 NSW,3048,2934
Canyon Aero 2021,ENVE 3.4,3051.5,2933
Spec Venge S-Works ,Royal Alpinist,3063,2932
Spec Venge S-Works ,Lightweight Meil,3063,2932
Canyon Aero 2021,DT Swiss ARC 62,3044,2932
Spec Aethos,Zipp 808,3049,2932
Spec Aethos,Zipp 858,3046,2930
Scott Addict RC,ENVE 7.8,3037.5,2930
Chapter2 Toa,Royal Alpinist,3066,2929
Chapter2 Toa,Lightweight Meil,3066,2929
Scott Addict RC,Zipp 353 NSW,3051,2928
Canyon Aero 2021,Royal Alpinist,3065,2927
Canyon Aero 2021,Lightweight Meil,3065,2927
Scott Addict RC,ENVE 3.4,3055,2927
Scott Addict RC,DT Swiss ARC 62,3047.5,2926
Spec Aethos,ENVE 7.8,3048,2925
Spec Aethos,Zipp 353 NSW,3062,2923
Spec Aethos,ENVE 3.4,3065.5,2922
Scott Addict RC,Royal Alpinist,3068,2921
Scott Addict RC,Lightweight Meil,3068,2921
Spec Aethos,DT Swiss ARC 62,3058,2921
Spec Aethos,Royal Alpinist,3079,2916
Spec Aethos,Lightweight Meil,3079,2916
